"lemma","word","kjv_def","strongs_def","derivation"
"G3978","πεζεύω","go afoot"," to foot a journey, i.e. travel by land","from the same as G3979 (πεζῇ);"
"G3808","παιδάριον","child, lad"," a little boy","neuter of a presumed derivative of G3816 (παῖς);"
"G3527","Νικάνωρ","Nicanor"," victorious; Nicanor, a Christian","probably from G3528 (νικάω);"
"G740","ἄρτος","(shew-)bread, loaf"," bread (as raised) or a loaf","from G142 (αἴρω);"
"G3812","παιδιόθεν","of a child"," from infancy","adverb (of source) from G3813 (παιδίον);"
"G4460","Ῥαάβ","Rahab"," Raab (i.e. Rachab), a Canaanitess","of Hebrew origin (G7343);"
"G1373","δίψος","thirst"," thirst","of uncertain affinity;"
"G3708","ὁράω","behold, perceive, see, take heed"," by extension, to attend to; by Hebraism, to experience; passively, to appear","properly, to stare at (compare G3700 (ὀπτάνομαι)), i.e. (by implication) to discern clearly (physically or mentally);"
"G2901","κραταιόω","be strengthened, be (wax) strong"," to empower, i.e. (passively) increase in vigor","from G2900 (κραταιός);"
"G1162","δέησις","prayer, request, supplication"," a petition","from G1189 (δέομαι);"
"G5349","φθαρτός","corruptible"," decayed, i.e. (by implication) perishable","from G5351 (φθείρω);"
"G5175","Τρωγύλλιον","Trogyllium"," Trogyllium, a place in Asia Minor","of uncertain derivation;"
"G2137","εὐοδόω","(have a) prosper(-ous journey)"," to help on the road, i.e. (passively) succeed in reaching; figuratively, to succeed in business affairs","from a compound of G2095 (εὖ) and G3598 (ὁδός);"
"G368","ἀναντίῤῥητος","cannot be spoken against"," indisputable","from G1 (Α) (as a negative particle) and a presumed derivative of a compound of G473 (ἀντί) and G4483 (ῥέω);"
"G3398","μικρός","least, less, little, small"," small (in size, quantity, number or (figuratively) dignity)","apparently a primary word;"
"G2636","καταλαλία","backbiting, evil speaking"," defamation","from G2637 (κατάλαλος);"
"G1488","εἶ","art, be"," thou art","second person singular present of G1510 (εἰμί);"
"G1874","ἐπακροάομαι","hear"," to listen (intently) to","from G1909 (ἐπί) and the base of G202 (ἀκροατής);"
"G943","βάτος","measure"," a bath, or measure for liquids","of Hebrew origin (H01324);"
"G2294","θάρσος","courage"," boldness (subjectively)","akin (by transposition) to (daring);"
"G5101","τίς","every man, how (much), + no(-ne, thing), what (manner, thing), where (-by, -fore, -of, -unto, - with, -withal), whether, which, who(-m, -se), why"," an interrogative pronoun, who, which or what (in direct or indirect questions)","probably emphatic of G5100 (τὶς);"
"G2281","θάλασσα","sea"," the sea (genitive case or specially)","probably prolonged from G251 (ἅλς);"
"G1543","ἑκατοντάρχης","centurion"," the captain of one hundred men","from G1540 (ἑκατόν) and G757 (ἄρχω);"
"G1715","ἔμπροσθεν","against, at, before, (in presence, sight) of"," in front of (in place (literally or figuratively) or time)","from G1722 (ἐν) and G4314 (πρός);"
"G2531","καθώς","according to, (according, even) as, how, when"," just (or inasmuch) as, that","from G2596 (κατά) and G5613 (ὡς);"
"G2761","κενῶς","in vain"," vainly, i.e. to no purpose","adverb from G2756 (κενός);"
"G4873","συνανάκειμαι","sit (down, at the table, together) with (at meat)"," to recline in company with (at a meal)","from G4862 (σύν) and G345 (ἀνακεῖμαι);"
"G5106","τοίνυν","then, therefore"," truly now, i.e. accordingly","from G5104 (τοί) and G3568 (νῦν);"
"G5283","ὑπόνοια","surmising"," suspicion","from G5282 (ὑπονοέω);"
"G3607","ὀθόνη","sheet"," a linen cloth, i.e. (especially) a sail","of uncertain affinity;"
"G1357","διόρθωσις","reformation"," rectification, i.e. (specially) the Messianic restauration","from a compound of G1223 (διά) and a derivative of G3717 (ὀρθός), meaning to straighten thoroughly;"
"G4980","σχολάζω","empty, give self"," to take a holiday, i.e. be at leisure for (by implication, devote oneself wholly to); figuratively, to be vacant (of a house)","from G4981 (σχολή);"
"G4998","σώφρων","discreet, sober, temperate"," safe (sound) in mind, i.e. self-controlled (moderate as to opinion or passion)","from the base of G4982 (σώζω) and that of G5424 (φρήν);"
"G788","ἆσσον","close"," more nearly, i.e. very near","neuter comparative of the base of G1451 (ἐγγύς);"
"G2505","καθά","as"," according to which things, i.e. just as","from G2596 (κατά) and the neuter plural of G3739 (ὅς);"
"G2569","καλοποιέω","well doing"," to do well, i.e. live virtuously","from G2570 (καλός) and G4160 (ποιέω);"
"G3782","ὀφειλή","debt, due"," indebtedness, i.e. (concretely) a sum owed; figuratively, obligation, i.e. (conjugal) duty","from G3784 (ὀφείλω);"
"G5498","χειρόγραφον","handwriting"," something hand-written (""chirograph""), i.e. a manuscript (specially, a legal document or bond (figuratively))","neuter of a compound of G5495 (χείρ) and G1125 (γράφω);"
"G105","ἀετός","eagle"," an eagle (from its wind-like flight)","from the same as G109 (ἀήρ);"
"G583","ἀπογράφω","tax, write"," to write off (a copy or list), i.e. enrol","from G575 (ἀπό) and G1125 (γράφω);"
"G4754","στρατεύομαι","soldier, (go to) war(-fare)"," to serve in a military campaign; figuratively, to execute the apostolate (with its arduous duties and functions), to contend with carnal inclinations","middle voice from the base of G4756 (στρατιά);"
"G624","Ἀπολλωνία","Apollonia"," from G622 (ἀπόλλυμι)); Apollonia, a place in Macedonia","from the pagan deity (i.e. the sun;"
"G770","ἀσθενέω","be diseased, impotent folk (man), (be) sick, (be, be made) weak"," to be feeble (in any sense)","from G772 (ἀσθενής);"
"G4170","πολεμέω","fight, (make) war"," to be (engaged) in warfare, i.e. to battle (literally or figuratively)","from G4171 (πόλεμος);"
"G23","ἀγανακτέω","be much (sore) displeased, have (be moved with, with) indignation"," akin to the base of G43 (ἀγκάλη)); to be greatly afflicted, i.e. (figuratively) indignant","from (much) and (grief;"
"G4498","Ῥόδη","Rhoda"," Rode, a servant girl","probably for rhode (a rose);"
"G2275","ἥττημα","diminishing, fault"," a deterioration, i.e. (objectively) failure or (subjectively) loss","from G2274 (ἡττάω);"
"G1875","ἐπάν","when"," a particle of indefinite contemporaneousness; whenever, as soon as","from G1909 (ἐπί) and G302 (ἄν);"
"G5433","φρυάσσω","rage"," to snort (as a spirited horse), i.e. (figuratively) to make a tumult","akin to G1032 (βρύω), G1031 (βρύχω);"
"G3439","μονογενής","only (begotten, child)"," only-born, i.e. sole","from G3441 (μόνος) and G1096 (γίνομαι);"
"G2400","ἰδού","--behold, lo, see"," used as imperative lo!; ","second person singular imperative middle voice of G1492 (εἴδω);"
"G1656","ἔλεος","(+ tender) mercy"," compassion (human or divine, especially active)","of uncertain affinity;"
"G4472","ῥαντίζω"," sprinkle"," to render besprinkled, i.e. asperse (ceremonially or figuratively)","from a derivative of (to sprinkle);"
"G1718","ἐμφανίζω","appear, declare (plainly), inform, (will) manifest, shew, signify"," to exhibit (in person) or disclose (by words)","from G1717 (ἐμφανής);"
"G2212","ζητέω","be (go) about, desire, endeavour, enquire (for), require, (X will) seek (after, for, means)"," to seek (literally or figuratively); specially, (by Hebraism) to worship (God), or (in a bad sense) to plot (against life)","of uncertain affinity;"
"G3963","Πάτμος","Patmos"," Patmus, an islet in the Mediterranean","of uncertain derivation;"
"G4646","σκολιός","crooked, froward, untoward"," warped, i.e. winding; figuratively, perverse","from the base of G4628 (σκέλος);"
"G46","ἄγναφος","new"," properly, unfulled, i.e. (by implication) new (cloth)","from G1 (Α) (as a negative particle) and the same as G1102 (γναφεύς);"
"G4535","σάλος","wave"," a vibration, i.e. (specially), billow","probably from the base of G4525 (σαίνω);"
"G4920","συνίημι"," consider, understand, be wise"," to put together, i.e. (mentally) to comprehend; by implication, to act piously","from G4862 (σύν) and (to send);"
"G1648","Ἐλεάζαρ","Eleazar"," Eleazar, an Israelite","of Hebrew origin (H0499);"
"G5100","τὶς","a (kind of), any (man, thing, thing at all), certain (thing), divers, he (every) man, one (X thing), ought, + partly, some (man, -body, - thing, -what), (+ that no-)thing, what(-soever), X wherewith, whom(-soever), whose(-soever)"," some or any person or object","an enclitic indefinite pronoun;"
"G4404","πρωΐ","early (in the morning), (in the) morning"," at dawn; by implication, the day-break watch","adverb from G4253 (πρό);"
"G2623","κατακλείω","shut up"," to shut down (in a dungeon), i.e. incarcerate","from G2596 (κατά) and G2808 (κλείω);"
"G4239","πραΰς","meek"," mild, i.e. (by implication) humble","apparently a primary word;"
"G5174","Τρωάς","Troas"," the Troad (or plain of Troy), i.e. Troas, a place in Asia Minor","from (a Trojan);"
"G1155","δανείζω","borrow, lend"," to loan on interest; reflexively, to borrow","from G1156 (δάνειον);"
"G3039","λικμάω","grind to powder"," to winnow, i.e. (by analogy), to triturate","from , the equivalent of (a winnowing fan or basket);"
"G3038","λιθόστρωτος","Pavement"," stone-strewed, i.e. a tessellated mosaic on which the Roman tribunal was placed","from G3037 (λίθος) and a derivative of G4766 (στρώννυμι);"
"G2253","ἡμιθανής","half dead"," half dead, i.e. entirely exhausted","from a presumed compound of the base of G2255 (ἥμισυ) and G2348 (θνήσκω);"
"G1990","ἐπιστήμων","endued with knowledge"," intelligent","from G1987 (ἐπίσταμαι);"
"G948","βδελύσσω","abhor, abominable"," to be disgusted, i.e. (by implication) detest (especially of idolatry)","from a (presumed) derivative of (to stink);"
"G2032","ἐπουράνιος","celestial, (in) heaven(-ly), high"," above the sky","from G1909 (ἐπί) and G3772 (οὐρανός);"
"G112","ἄθεος","without God"," godless","from G1 (Α) (as a negative particle) and G2316 (θεός);"
"G2405","ἱερατεία","office of the priesthood, priest's office"," priestliness, i.e. the sacerdotal function","from G2407 (ἱερατεύω);"
"G3505","Νέρων","Nero"," Neron (i.e. Nero), a Roman emperor","of Latin origin;"
"G391","ἀναστροφή","conversation"," behavior","from G390 (ἀναστρέφω);"
"G2808","κλείω","shut (up)"," to close (literally or figuratively)","a primary verb;"
"G694","ἀργύριον","money, (piece of) silver (piece)"," silvery, i.e. (by implication) cash; specially, a silverling (i.e. drachma or shekel)","neuter of a presumed derivative of G696 (ἄργυρος);"
"G5300","ὗς","sow"," a hog (""swine"")","apparently a primary word;"
"G3479","Ναζαρηνός","of Nazareth"," a Nazarene, i.e. inhabitant of Nazareth","from G3478 (Ναζαρέθ);"
"G861","ἀφθαρσία","immortality, incorruption, sincerity"," incorruptibility; genitive, unending existence; (figuratively) genuineness","from G862 (ἄφθαρτος);"
"G279","ἀμετανόητος","impenitent"," unrepentant","from G1 (Α) (as a negative particle) and a presumed derivative of G3340 (μετανοέω);"
"G2300","θεάομαι","behold, look (upon), see"," to look closely at, i.e. (by implication) perceive (literally or figuratively); by extension to visit","a prolonged form of a primary verb;"
"G3311","μερισμός","dividing asunder, gift"," a separation or distribution","from G3307 (μερίζω);"
"G2855","κολλυβιστής","(money-)changer"," probably akin to G2854 (κολλούριον)); a coin-dealer","from a presumed derivative of (a small coin;"
"G5426","φρονέω","set the affection on, (be) care(-ful), (be like-, + be of one, + be of the same, + let this) mind(-ed), regard, savour, think"," to exercise the mind, i.e. entertain or have a sentiment or opinion; by implication, to be (mentally) disposed (more or less earnestly in a certain direction); intensively, to interest oneself in (with concern or obedience)","from G5424 (φρήν);"
